Var1,ACC,Localization,CellWall_Surface,Extracellular,Cytoplasmic,CytoplasmicMembrane,OuterMembrane,Periplasmic
0,cluster_8975,Cytoplasmic,0.0009,0.0332,0.905,0.0285,0.0305,0.0019
1,cluster_12103,Cytoplasmic,0.0014,0.1701,0.5636,0.2201,0.0404,0.0044
2,cluster_3637,Cytoplasmic Membrane,0.0103,0.1073,0.2212,0.3365,0.0999,0.2247
